,item,cond,Stim,word_IDs,Placer,NumWords
1,1,1,the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated more than the alder familythe old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the left of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years,181,1,177
2,1,2,the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated less than the alder familythe old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the right of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years,181,2,177
3,1,3,the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated more than the alder familythe old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the right of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years,181,3,177
4,1,4,the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated less than the alder familythe old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the left of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years,181,4,177
5,1,5,the old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the left of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated more than the alder family,181,5,178
6,1,6,the old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the right of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated less than the alder family,181,6,178
7,1,7,the old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the left of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated less than the alder family,181,7,178
8,1,8,the old chapels doors stood wide open allowing full view of its interior inside there stood a magnificent hundred year old altar to the left of the altar stood the pulpit where the pastor would often hold his sermons from a recent archaeological discovery has led researchers to believe that there is a secret underground chamber somewhere to the right of the altar in the church the local community considered the church an integral part of its identity but the number of people attending had dwindled significantly over the past few years the old chapel relied on donations from the local community the alder family had donated a great deal of money to the chapel however it still wasnt enough to match the amount of money that the dwight family had managed to raise for the chapel however a new property developer that had just moved in wanted to grease the wheels of his business plans and so started to spend generously in the village when mrroberts donated to the chapel he donated more than the alder family,181,8,178
9,2,1,amy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had and made sure that he was at least faster than amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere above the camp at the mountains base there was a small area where people would go to throw their rubbish away,212,9,207
10,2,2,amy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had but he simply wasnt as fast as amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they wentthe mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountains base there was a small area where people would go to throw their rubbish away,210,10,203
11,2,3,amy was a highly competent hiker and she loved to compete in time trials she was annoyed at the fact that she hadnt managed to climb to the mountains summit faster than sam the two were friends and their rivalry would spur them on to climbing faster and more dangerously in order to one up each other amys friend bradley wanted to impress her when he climbed the mountain he gave it all he had and made sure that he was at least faster than amy the three loved to climb and loved nature so they always made sure to pick up their rubbish wherever they went the mountain stood proudly as it had done for thousands of years people had always wanted to climb it so over the years a natural rest stop had developed above the camp at the mountains base the rest stop had over the years become popular with bird watchers they had no interest in reaching the summit as it was the birds they came for with a recent increase in tourism on the mountain there was a rumour that somewhere below the camp at the mountains base there was a small area where people would go to throw their rubbish away,212,11,207
