item,cond,Q1,Q1O1,Q1O2,Q1O3,Q1corr_ans,Q2,Q2O1,Q2O2,Q2O3,Q2corr_ans,Q3,Q3O1,Q3O2,Q3O3,Q3corr_ans
1,1,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,C.There is not enough information,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,C.There is not enough information,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,2,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,B. Dwights,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,A. Left,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,3,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,C.There is not enough information,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,A. Left,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,4,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,B. Dwights,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,C.There is not enough information,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,5,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,C.There is not enough information,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,C.There is not enough information,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,6,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,A. Left,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,B. Dwights,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,7,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,C.There is not enough information,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,B. Dwights,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
1,8,Mr. Roberts was standing in front of the alter facing it. What direction would he need to go in order to walk to where the secret chamber is thought to be? ,A. Left,B. Right,C.There is not enough information,A. Left,The Bishop sent a thank you letter to the top donor every year. Who would receive this letter?  ,A. Mr.Roberts,B. Dwights,C.There is not enough information,C.There is not enough information,The number of people attending service at the chapel has,A.Increased,B.Decreased,C.There is not enough information,B.Decreased
2,1,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,C.There is not enough information,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,C.There is not enough information,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
2,2,"Every year there is a race to the top of the mountain which allows only the best to compete, who is most likely to qualify?",A.Bradley ,B. Sam,C.There is not enough information,B. Sam,"Mountain Ranger Tim McMurphy is standing at the rest stop he wants to investigate the  place where tourists throw their rubbish away so that he can put a stop to it, where does he need to go?",A. Up the mountain,B. Down the mountain,C.There is not enough information,B. Down the mountain,The rest stop on the mountain is frequently used by  ,A.Bird watchers,B.Bear hunters,C.There is not enough information,A.Bird Watchers
